,Machine,Job,Start,Finish,Delta
0,0,Part0_0,0,1,1
1,1,Part1_0,0,2,2
2,4,Part4_0,0,5,5
3,3,Part3_0,0,4,4
4,2,Part2_0,0,3,3
5,1,Part0_0,2,7,5
6,2,Part1_0,3,8,5
7,3,Part2_0,4,9,5
8,0,Part4_0,5,10,5
9,4,Part3_0,5,10,5
10,2,Part0_0,8,13,5
11,3,Part1_0,9,14,5
12,0,Part3_0,10,15,5
13,4,Part2_0,10,15,5
14,1,Part4_0,10,15,5
15,3,Part0_0,14,19,5
16,1,Part3_0,15,20,5
17,0,Part2_0,15,20,5
18,4,Part1_0,15,20,5
19,2,Part4_0,15,20,5
20,0,Part1_0,20,25,5
21,1,Part2_0,20,25,5
22,4,Part0_0,20,25,5
23,2,Part3_0,20,25,5
24,3,Part4_0,20,25,5
25,1,Part1_1,30,32,2
26,3,Part3_1,30,34,4
27,0,Part0_1,30,31,1
28,2,Part2_1,30,33,3
29,4,Part4_1,30,35,5
30,1,Part0_1,32,37,5
31,2,Part1_1,33,38,5
32,3,Part2_1,34,39,5
33,4,Part3_1,35,40,5
34,0,Part4_1,35,40,5
35,2,Part0_1,38,43,5
36,3,Part1_1,39,44,5
37,1,Part4_1,40,45,5
38,4,Part2_1,40,45,5
39,0,Part3_1,40,45,5
40,3,Part0_1,44,49,5
41,0,Part2_1,45,50,5
42,1,Part3_1,45,50,5
43,2,Part4_1,45,50,5
44,4,Part1_1,45,50,5
45,1,Part2_1,50,55,5
46,3,Part4_1,50,55,5
47,2,Part3_1,50,55,5
48,4,Part0_1,50,55,5
49,0,Part1_1,50,55,5
50,3,Part3_2,60,64,4
51,4,Part4_2,60,65,5
52,2,Part2_2,60,63,3
53,1,Part1_2,60,62,2
54,0,Part0_2,60,61,1
55,1,Part0_2,62,67,5
56,2,Part1_2,63,68,5
57,3,Part2_2,64,69,5
58,0,Part4_2,65,70,5
59,4,Part3_2,65,70,5
60,2,Part0_2,68,73,5
61,3,Part1_2,69,74,5
62,4,Part2_2,70,75,5
63,1,Part4_2,70,75,5
64,0,Part3_2,70,75,5
65,3,Part0_2,74,79,5
66,0,Part2_2,75,80,5
67,1,Part3_2,75,80,5
68,2,Part4_2,75,80,5
69,4,Part1_2,75,80,5
70,0,Part1_2,80,85,5
71,3,Part4_2,80,85,5
72,1,Part2_2,80,85,5
73,4,Part0_2,80,85,5
74,2,Part3_2,80,85,5
75,0,Part0_3,90,91,1
76,4,Part4_3,90,95,5
77,3,Part3_3,90,94,4
78,1,Part1_3,90,92,2
79,2,Part2_3,90,93,3
80,1,Part0_3,92,97,5
81,2,Part1_3,93,98,5
82,3,Part2_3,94,99,5
83,0,Part4_3,95,100,5
84,4,Part3_3,95,100,5
85,2,Part0_3,98,103,5
86,3,Part1_3,99,104,5
87,1,Part4_3,100,105,5
88,4,Part2_3,100,105,5
89,0,Part3_3,100,105,5
90,3,Part0_3,104,109,5
91,4,Part1_3,105,110,5
92,1,Part3_3,105,110,5
93,2,Part4_3,105,110,5
94,0,Part2_3,105,110,5
95,4,Part0_3,110,115,5
96,0,Part1_3,110,115,5
97,3,Part4_3,110,115,5
98,2,Part3_3,110,115,5
99,1,Part2_3,110,115,5
100,3,Part3_4,120,124,4
101,1,Part1_4,120,122,2
102,0,Part0_4,120,121,1
103,4,Part4_4,120,125,5
104,2,Part2_4,120,123,3
105,1,Part0_4,122,127,5
106,2,Part1_4,123,128,5
107,3,Part2_4,124,129,5
108,0,Part4_4,125,130,5
109,4,Part3_4,125,130,5
110,2,Part0_4,128,133,5
111,3,Part1_4,129,134,5
112,1,Part4_4,130,135,5
113,4,Part2_4,130,135,5
114,0,Part3_4,130,135,5
115,3,Part0_4,134,139,5
116,4,Part1_4,135,140,5
117,2,Part4_4,135,140,5
118,0,Part2_4,135,140,5
119,1,Part3_4,135,140,5
120,0,Part1_4,140,145,5
121,3,Part4_4,140,145,5
122,1,Part2_4,140,145,5
123,2,Part3_4,140,145,5
124,4,Part0_4,140,145,5
125,0,Part0_5,150,151,1
126,2,Part2_5,150,153,3
127,3,Part3_5,150,154,4
128,1,Part1_5,150,152,2
129,4,Part4_5,150,155,5
130,1,Part0_5,152,157,5
131,2,Part1_5,153,158,5
132,3,Part2_5,154,159,5
133,4,Part3_5,155,160,5
134,0,Part4_5,155,160,5
135,2,Part0_5,158,163,5
136,3,Part1_5,159,164,5
137,1,Part4_5,160,165,5
138,4,Part2_5,160,165,5
139,0,Part3_5,160,165,5
140,3,Part0_5,164,169,5
141,4,Part1_5,165,170,5
142,0,Part2_5,165,170,5
143,1,Part3_5,165,170,5
144,2,Part4_5,165,170,5
145,4,Part0_5,170,175,5
146,0,Part1_5,170,175,5
147,2,Part3_5,170,175,5
148,1,Part2_5,170,175,5
149,3,Part4_5,170,175,5
150,2,Part2_6,180,183,3
151,1,Part1_6,180,182,2
152,0,Part0_6,180,181,1
153,3,Part3_6,180,184,4
154,4,Part4_6,180,185,5
155,1,Part0_6,182,187,5
156,2,Part1_6,183,188,5
157,3,Part2_6,184,189,5
158,4,Part3_6,185,190,5
159,0,Part4_6,185,190,5
160,2,Part0_6,188,193,5
161,3,Part1_6,189,194,5
162,1,Part4_6,190,195,5
163,0,Part3_6,190,195,5
164,4,Part2_6,190,195,5
165,3,Part0_6,194,199,5
